,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
89,89,B08SVV5HZY,"Artistix Business Class Series Alpine Anti Theft 15.6 inch Laptop Backpack (Black, 32 L)",Artistix,0,0,0,"1,782",4.5,260,54,"Friday, February 18",1,260,https://m.media-amazon.com/images/I/41l-6+q1kzL._SX425_.jpg,Backpack,"Artistix Business Class Series Alpine Anti Theft 15.6 inch Laptop Backpack (Black, 32 L)",SKU: B08SVV5HZY
90,90,B08GZ6C151,PU Leather Teddy Keychain Preppy Style Women Backpack,TYPIFY,0,0,0,359,4.0,193,79,,0,193,https://m.media-amazon.com/images/I/61FloSOYqyL._AC_UL320_.jpg,Backpack,PU Leather Teddy Keychain Preppy Style Women Backpack,SKU: B08GZ6C151
91,91,B09B27S9SG,"Tribe Large Laptop Backpack With 3 Compartments, Water Resistant Fabric",Safari,0,0,0,999,3.8,207,71,,1,207,https://m.media-amazon.com/images/I/71aWnXcav9L._UX522_.jpg,Backpack,"Tribe Large Laptop Backpack With 3 Compartments, Water Resistant Fabric",SKU: B09B27S9SG
92,92,B07G4F3758,Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack (LBPVG2LTH1901),Gear,0,0,0,829,4.4,978,62,,1,978,https://m.media-amazon.com/images/I/91FK74bRReL._AC_UL320_.jpg,Backpack,Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack (LBPVG2LTH1901),SKU: B07G4F3758
93,93,B084TPDN9L,Women Multi Colored Floral Print Backpack,Lino Perros,0,0,0,979,4.3,134,74,,1,134,https://m.media-amazon.com/images/I/91lZ8Bj1DyL._UY500_.jpg,Backpack,Women Multi Colored Floral Print Backpack,SKU: B084TPDN9L
94,94,B07DCWCZTB,26 Ltrs Red Casual/School/College Backpack (CHAMP19CBRED),Safari,0,0,0,499,3.9,"1,888",69,,1,"1,888",https://m.media-amazon.com/images/I/71O95lbYYaL._SY450_.jpg,Backpack,26 Ltrs Red Casual/School/College Backpack (CHAMP19CBRED),SKU: B07DCWCZTB
95,95,B09HXG4QRZ,WorldCare® NB53167 Backpack Laptop Backpack Larger Store Multi - Function Shock Absorbing with USB Charging Port Outdoor Shoulder Bag 15.6in Polyester Backpack for Men Women Travel Outdoor Sport,Generic,0,0,0,"29,999",0.0,0,14,,0,"₹29,999
₹34,999 Save ₹5,000 (14%)",https://m.media-amazon.com/images/I/61kRGM+e2tL._AC_UL320_.jpg,Backpack,WorldCare® NB53167 Backpack Laptop Backpack Larger Store Multi - Function Shock Absorbing with USB Charging Port Outdoor Shoulder Bag 15.6in Polyester Backpack for Men Women Travel Outdoor Sport,SKU: B09HXG4QRZ
96,96,B07Q2WYWG1,"Waterproof Polyster Printed 30 L Bag Backpack for School, College, Laptop (Blue & Black)",Trunkit,0,0,0,759,4.0,38,71,,0,38,https://m.media-amazon.com/images/I/91sCqJbFJCL._SY450_.jpg,Backpack,"Waterproof Polyster Printed 30 L Bag Backpack for School, College, Laptop (Blue & Black)",SKU: B07Q2WYWG1
97,97,B098XQ19MB,Vegan Leather Girl's Travel Casual Collage Backpack With Shoulder Strap,INOVERA (LABEL),0,0,0,"1,257",4.4,74,16,,1,74,https://m.media-amazon.com/images/I/61TihzqkwmL._AC_UL320_.jpg,Backpack,Vegan Leather Girl's Travel Casual Collage Backpack With Shoulder Strap,SKU: B098XQ19MB
98,98,B07RYHX44M,Komet 45 cms Royal Blue Laptop Backpack (Komet 05),Skybags,0,0,0,897,4.0,91,75,,0,91,https://m.media-amazon.com/images/I/91TB4AOdP6L._AC_UL320_.jpg,Backpack,Komet 45 cms Royal Blue Laptop Backpack (Komet 05),SKU: B07RYHX44M
99,99,B082QZRX7F,35 Ltrs 46 cm Laptop Backpack (Onyx_Black),Artistix,0,0,0,"1,188",4.3,618,56,,1,618,https://m.media-amazon.com/images/I/613HWeCKC+L._AC_UL320_.jpg,Backpack,35 Ltrs 46 cm Laptop Backpack (Onyx_Black),SKU: B082QZRX7F
100,100,B00N1BCYQ8,Stahlsac by Bare Bonaire Deluxe Mesh Wet/Dry Backpack (Black / Pink),Stahlsac,0,0,0,0,5.0,8,0,,0,8,https://m.media-amazon.com/images/I/7144iOcW5dS._AC_UL320_.jpg,Backpack,Stahlsac by Bare Bonaire Deluxe Mesh Wet/Dry Backpack (Black / Pink),SKU: B00N1BCYQ8
