,Unnamed: 0,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
64,64,B09MDGG2HG,Smartcell 1.5V AAA Non-Rechargeable Alkaline Mini Series Battery Pack of 10,Smartcell,1,0,0,163,4.7,5,9,"Friday, February 11",1,5,https://m.media-amazon.com/images/I/61pcFO939VL._AC_UL320_.jpg
65,65,B0774P9G4W,AmazonBasics D Cell Everyday Alkaline Batteries (4-Pack),AmazonBasics,1,0,0,379,4.4,"68,036",53,"Friday, February 11",1,"68,036",https://m.media-amazon.com/images/I/61he+2zDB5L._AC_UL320_.jpg
66,66,B00MH4QM1S,AmazonBasics 9 Volt Everyday Alkaline Batteries (8-Pack) - Appearance May Vary,AmazonBasics,1,0,0,689,4.4,"109,821",14,"Tuesday, February 8",1,"109,821",
67,67,B00LH3DREU,AmazonBasics AAAA Everyday Alkaline Batteries (4-Pack) - Appearance May Vary,AmazonBasics,1,0,0,179,4.2,"15,861",40,"Friday, February 11",1,"15,861",https://m.media-amazon.com/images/I/61YZU7I3YgL._AC_UL320_.jpg
68,68,B00KKKCNTG,NIPPO Hyper HI-Power Battery AAA 4U 1.5V Battery-Pack of 20,NIPPO,0,0,0,187,3.4,21,7,"Sunday, February 13",1,21,https://m.media-amazon.com/images/I/61wFM2XczyL._AC_UL320_.jpg
69,69,B08TBKLVWC,Panasonic Gold Plus AA Batteries (10 Count),Panasonic,0,0,0,135,4.3,164,16,"Monday, February 14",0,164,https://m.media-amazon.com/images/I/71L4I5M9pmL._AC_UL320_.jpg
70,70,B099ZFYY4W,Kodak Ultra Premium Alkaline Batteries AAA LR6 1.5v ( Pack of 10 ),Kodak,0,0,0,300,5.0,1,40,"Saturday, February 12",1,1,https://m.media-amazon.com/images/I/51-Xx50PluL._AC_UL320_.jpg
71,71,B08KTHMRFM,"Eveready Rechargeable Battery, 02 Pieces Pack, White (1000 Series, BP4 700 NIMH) (Pack of 2, AAA Battery)",Eveready,0,0,0,338,3.8,50,1,"Sunday, February 13",0,50,
72,72,B00FF5GLNK,Tuscan AAA 1100 mAh Rechargeable Battery,Tuscan,0,0,0,229,3.8,208,54,"Sunday, February 13",0,208,https://m.media-amazon.com/images/I/71+iS8bPa5L._AC_UL320_.jpg
73,73,B095Y4L113,Nippo Hyper Batteries - AA & AAA Combo Pack - Czn - Blue - (2x20) 40 Units,Nippo,0,0,0,393,3.0,2,2,"Sunday, February 13",1,2,https://m.media-amazon.com/images/I/51nPqtjPdzL._AC_UL320_.jpg
74,74,B08W3JQQSR,Tuscan Ni-MH 1.2V Rechargeable Battery (AAA - 1100 mAh Battery),Tuscan,0,0,0,229,4.0,1,54,"Sunday, February 13",0,1,https://m.media-amazon.com/images/I/41Ja9HhEa+L._AC_UL320_.jpg
75,75,B08QJK476Z,Eveready AAA Batteries Cells (Pack of 10),Eveready,0,0,0,98,2.5,2,2,"Monday, February 14",0,2,https://m.media-amazon.com/images/I/41eLHPicmPL._AC_UL320_.jpg
76,76,B096K5PSTC,"Duracell Alkaline AAA Battery Chhota Power, 20 Pcs",Duracell,1,0,0,445,4.5,210,6,"Tuesday, February 8",1,210,
