Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
74,B07NDQ5QFG,Men Jogger Design Denim Jeans,Campus Sutra,0,0,0,789,3.6,169,58,,1,169,https://m.media-amazon.com/images/I/71FOe+VJc7L._AC_UL320_.jpg,Jean,Men Jogger Design Denim Jeans,SKU: B07NDQ5QFG
75,B091734BWL,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,674,4,105,66,,1,105,https://m.media-amazon.com/images/I/71Do2+EZeiL._AC_UL320_.jpg,Jean,Womens High Rise Cotton Lycra Jeans,SKU: B091734BWL
76,B08L2636YZ,Women's Loose Fit Jeans,KOTTY,0,0,0,639,3.8,469,68,,1,469,https://m.media-amazon.com/images/I/31Y4oZCtpUL._AC_UL320_.jpg,Jean,Women's Loose Fit Jeans,SKU: B08L2636YZ
77,B01LZK86D7,Men's (Millard) Regular Fit Stretchable Jeans,Wrangler,0,0,0,"1,291",3.7,39,52,,1,39,https://m.media-amazon.com/images/I/81RRSpl7QDL._UX522_.jpg,Jean,Men's (Millard) Regular Fit Stretchable Jeans,SKU: B01LZK86D7
78,B07LG8BHF9,Women's Black Skinny Fit High Rise Clean Look Regular Length Stretchable Denim Jeans,Miss Chase,0,0,0,949,3.9,675,51,,1,675,https://m.media-amazon.com/images/I/71G17uLgBJL._AC_UL320_.jpg,Jean,Women's Black Skinny Fit High Rise Clean Look Regular Length Stretchable Denim Jeans,SKU: B07LG8BHF9
79,B089FNZYG7,Womens High Rise Cotton Lycra Skinny Jeans,KOTTY,0,0,0,674,3.3,107,66,,1,107,https://m.media-amazon.com/images/I/51KJBTtayUL._AC_UL320_.jpg,Jean,Womens High Rise Cotton Lycra Skinny Jeans,SKU: B089FNZYG7
80,B09LLHDX59,Men's Regular Jeans,Peter England,0,0,0,"1,185",5,1,34,,1,1,https://m.media-amazon.com/images/I/51BNAwixboL._UY550_.jpg,Jean,Men's Regular Jeans,SKU: B09LLHDX59
81,B076CR4HPR,Men's Slim Fit Washed Jeans Stretchable,Urbano Fashion,0,0,0,599,3.7,"5,637",54,,1,"5,637",https://m.media-amazon.com/images/I/51sqbNfjT5L._AC_UL320_.jpg,Jean,Men's Slim Fit Washed Jeans Stretchable,SKU: B076CR4HPR
82,B09Q93GFZS,Women's Wide Leg Flared Jeans,Malachi,0,0,0,899,3.8,27,61,,1,27,https://m.media-amazon.com/images/I/81I9aCr4ncL._AC_UL320_.jpg,Jean,Women's Wide Leg Flared Jeans,SKU: B09Q93GFZS
83,B07L6Z52YW,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,550,3.7,"2,797",66,,1,"2,797",https://m.media-amazon.com/images/I/81rcMJm4kFL._UY550_.jpg,Jean,Men's Slim Fit Stretchable Jeans,SKU: B07L6Z52YW
