,Rank,Probability distn
29,30,"{'B089QBD333': 0.15, 'B07CGLDV2C': 0.1, 'B07G6RQ1L2': 0.1, 'B09B26VHXV': 0.1, 'B07XPQ7ZTS': 0.1, 'B09B25QMKY': 0.05, 'B09JGGD6GK': 0.05, 'B089QB6D7B': 0.05, 'B097KDRZ67': 0.05, 'B081GSQ9D9': 0.05, 'B019FBEJCO': 0.05, 'B07V9Z58QL': 0.05, 'B079DDT65R': 0.05, 'B08RB5QDJT': 0.05}"
30,31,"{'B079DDT65R': 0.2, 'B09B26VHXV': 0.15, 'B07G6RQ1L2': 0.1, 'B08RB5QDJT': 0.1, 'B09JGHM5RJ': 0.05, 'B07CGLDV2C': 0.05, 'B07KR1NRWR': 0.05, 'B077S675P9': 0.05, 'B097KDRZ67': 0.05, 'B019FBEJCO': 0.05, 'B07V9Z58QL': 0.05, 'B08P5KNPPQ': 0.05, 'B09B28TKLG': 0.05}"
31,32,"{'B07G6RQ1L2': 0.15, 'B07V9Z58QL': 0.15, 'B07BZ5VC4H': 0.1, 'B09B25QMKY': 0.05, 'B07SRFGK6H': 0.05, 'B07KR1NRWR': 0.05, 'B09B26MB5M': 0.05, 'B07CGLDV2C': 0.05, 'B077S675P9': 0.05, 'B08Z1HHHTD': 0.05, 'B09B26VHXV': 0.05, 'B07XPQ7ZTS': 0.05, 'B09QJ7ZF2Y': 0.05, 'B09CGZ2W28': 0.05, 'B08P5KNPPQ': 0.05}"
32,33,"{'B097KDRZ67': 0.2, 'B07F1157TV': 0.15, 'B07G6RQ1L2': 0.1, 'B09B26MB5M': 0.1, 'B09QM9N1B3': 0.05, 'B07BZ5VC4H': 0.05, 'B019FBEJCO': 0.05, 'B07KR1NRWR': 0.05, 'B07CGLDV2C': 0.05, 'B07PQN9JQB': 0.05, 'B07V9Z58QL': 0.05, 'B09CGZ2W28': 0.05, 'B07XJPLL27': 0.05}"
33,34,"{'B07G6RQ1L2': 0.15, 'B097KDRZ67': 0.15, 'B019HA8AQO': 0.1, 'B09B26MB5M': 0.1, 'B07XPQ7ZTS': 0.1, 'B019FBEJCO': 0.05, 'B07SRFGK6H': 0.05, 'B07BZ5VC4H': 0.05, 'B08Z1HHHTD': 0.05, 'B09GPMRGZV': 0.05, 'B08RB5QDJT': 0.05, 'B07F1157TV': 0.05, 'B079DDT65R': 0.05}"
34,35,"{'B09B26VHXV': 0.1, 'B09B28TKLG': 0.1, 'B08RB5QDJT': 0.1, 'B06XD713N9': 0.1, 'B07CGLDV2C': 0.05, 'B019HA8DQQ': 0.05, 'B019FBEJCO': 0.05, 'B089QB6D7B': 0.05, 'B09B26MB5M': 0.05, 'B07V9Z58QL': 0.05, 'B07F1157TV': 0.05, 'B07XPQ7ZTS': 0.05, 'B07F61HRJF': 0.05, 'B084Q21RW6': 0.05, 'B097KDRZ67': 0.05, 'B09CGZ2W28': 0.05}"
35,36,"{'B097KDRZ67': 0.25, 'B084TPHLQM': 0.15, 'B0983BM2F7': 0.1, 'B07V9Z58QL': 0.1, 'B07F1157TV': 0.1, 'B019FBEJCO': 0.05, 'B089QB6D7B': 0.05, 'B08RB5QDJT': 0.05, 'B07F61HRJF': 0.05, 'B08P5KNPPQ': 0.05, 'B083QSC5QQ': 0.05}"
36,37,"{'B089QBD333': 0.1, 'B097KDRZ67': 0.1, 'B09B28TKLG': 0.1, 'B07XPQ7ZTS': 0.1, 'B09CGZ2W28': 0.1, 'B083QSC5QQ': 0.1, 'B084TPHLQM': 0.05, 'B019FBEJCO': 0.05, 'B07SRFGK6H': 0.05, 'B07F1157TV': 0.05, 'B07XSTR69N': 0.05, 'B08RB5QDJT': 0.05, 'B09QT7CFCN': 0.05, 'B07RKHRZSX': 0.05}"
37,38,"{'B09B25QMKY': 0.15, 'B09QT7CFCN': 0.15, 'B09CGZ2W28': 0.1, 'B09B28TKLG': 0.1, 'B07XSTR69N': 0.1, 'B09RQRWZ1B': 0.05, 'B09B26VHXV': 0.05, 'B0983BM2F7': 0.05, 'B09BMG8R6Y': 0.05, 'B077S675P9': 0.05, 'B08RB5QDJT': 0.05, 'B07F1157TV': 0.05, 'B08P5KNPPQ': 0.05}"
38,39,"{'B09CGZ2W28': 0.2, 'B0100BCHO0': 0.2, 'B07XSTR69N': 0.15, 'B09B28TKLG': 0.1, 'B09BMG8R6Y': 0.05, 'B07Q7CNPMV': 0.05, 'B07SRFGK6H': 0.05, 'B08RB5QDJT': 0.05, 'B07XPQ7ZTS': 0.05, 'B06XD713N9': 0.05, 'B09B26T7KQ': 0.05}"
39,40,"{'B09B2581S9': 0.15, 'B0100BCHO0': 0.15, 'B06XD713N9': 0.15, 'B01G5I8YLC': 0.1, 'B077S675P9': 0.05, 'B079DDT65R': 0.05, 'B09B26VHXV': 0.05, 'B0983BM2F7': 0.05, 'B08Z217HCH': 0.05, 'B084Q4N84P': 0.05, 'B09B26T7KQ': 0.05, 'B09CGZ2W28': 0.05, 'B07XSTR69N': 0.05}"
