,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
10,B09F6L3W6N,Men's Skinny Jeans,Spykar,0,0,0,"1,151",3.4,11,62,,1,11,https://m.media-amazon.com/images/I/813Rtj4U33L._UY550_.jpg
11,B07MXMTW2Z,Men Striped Denim Jeans,Campus Sutra,0,0,0,899,3.6,"1,764",55,,1,"1,764",https://m.media-amazon.com/images/I/61ZGXTSfA3L._AC_UL320_.jpg
12,B07CWT3MFK,Men's Slim Fit Denim Jeans,Ben Martin,0,0,0,698,3.6,"2,231",72,,1,"2,231",https://m.media-amazon.com/images/I/61+nyy9oqDL._UX522_.jpg
13,B085J7BK52,Men's Skinny Fit Jeans,Amazon Brand - Symbol,0,0,0,669,3.8,"1,140",61,,1,"1,140",https://m.media-amazon.com/images/I/71jtjinnCLL._AC_UL320_.jpg
14,B08XMSDJ3Q,by Shoppers Stop Solid Cotton Rich Regular Fit Boys Jeans (S21711BJNS-P),LIFE,0,1,0,240,4.0,237,70,,0,237,https://m.media-amazon.com/images/I/51oEGGLX2FL._AC_UL320_.jpg
15,B09F6KZK1Y,Men's Skinny Jeans,Spykar,0,0,0,"1,180",4.5,2,61,,1,2,https://m.media-amazon.com/images/I/51LNpKJtbML._UX522_.jpg
16,B07SBZ7H6H,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,RAGZO,0,0,0,849,3.5,"1,182",43,,1,"1,182",https://m.media-amazon.com/images/I/81E-m0fwsIL._AC_UL320_.jpg
17,B07PD5BCWC,Women's Skinny Fit Jeans,AKA CHIC,0,0,0,839,3.9,"1,260",58,,1,"1,260",https://m.media-amazon.com/images/I/61PtpELCgnL._AC_UL320_.jpg
18,B06Y6MHSVR,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,649,3.6,"3,865",74,,1,"3,865",https://m.media-amazon.com/images/I/61TwfPRLhrL._AC_UL320_.jpg
19,B07VGFW4KH,Men's Slim Jeans,Deniklo,1,0,0,655,4.0,76,72,,1,76,https://m.media-amazon.com/images/I/81lMieV8qwL._UY550_.jpg
20,B07HZN78T8,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,769,3.7,225,76,,1,225,https://m.media-amazon.com/images/I/91qT9DFAVwL._AC_UL320_.jpg
21,B08MQPSHWT,Studio X Svensson & Co. Men's Slim Fit Stretchable Denim Jeans,Avadat,1,0,0,999,3.8,368,47,,1,368,https://m.media-amazon.com/images/I/51nNXLWlojL._UY550_.jpg
22,B08NTDTWDS,Women's High Rise Jeans,KOTTY,0,0,0,639,3.8,532,68,,1,532,https://m.media-amazon.com/images/I/313389wmFrL._AC_UL320_.jpg
23,B099JPYXJT,Men's Carrot Jeans,Amazon Brand - Inkast Denim Co.,1,0,0,799,4.0,37,73,,1,37,https://m.media-amazon.com/images/I/71pkQz0I4xL._UY550_.jpg
24,B07DMZ9J72,Men's Slim Fit Denim,Ben Martin,0,0,0,698,3.5,"3,248",77,,1,"3,248",https://m.media-amazon.com/images/I/61Don-d8JfL._AC_UL320_.jpg
25,B09BVW2LNQ,Men's Slim Jeans,Levi's,0,0,0,"1,321",4.1,300,47,,1,300,https://m.media-amazon.com/images/I/71N3ABqIHQL._AC_UL320_.jpg
26,B06XJ9J4KT,Women's Jeans,NIFTY,0,1,0,499,3.9,"4,410",62,,1,"4,410",https://m.media-amazon.com/images/I/61e5EIR-LhL._AC_UL320_.jpg
27,B07HLZ6K4K,Women's Straight Jeans,AKA CHIC,0,0,0,885,4.1,519,62,,1,519,https://m.media-amazon.com/images/I/81mRWoU5jxL._AC_UL320_.jpg
28,B09C2G7CSZ,Men's Light Blue Slim Fit Washed Jeans Stretchable,Urbano Fashion,0,0,0,699,3.5,"1,017",53,,1,"1,017",https://m.media-amazon.com/images/I/61S5a0LL0sL._AC_UL320_.jpg
29,B099P4RTRR,Men's Slim Jeans,Spykar,0,0,0,"1,181",3.3,3,59,,1,3,https://m.media-amazon.com/images/I/81O-0mvzKNL._UY550_.jpg
30,B09F655D8M,Men's Slim Jeans,Allen Solly,0,0,0,"1,044",4.3,17,45,,1,17,https://m.media-amazon.com/images/I/61NYLc2pU6L._UY679_.jpg
31,B091734BWL,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,674,4.0,89,66,,1,89,https://m.media-amazon.com/images/I/71Do2+EZeiL._AC_UL320_.jpg
32,B07XKSP8DW,Men's Slim Fit Apparel,Neostreak,0,0,0,356,3.2,10,84,,0,10,https://m.media-amazon.com/images/I/815C1sbQsvL._AC_UL320_.jpg
33,B07GXJKNBN,Men's Stretch Skinny Stretchable Jeans (IN-SK-31_Dark Blue_32_Dark Blue1_32),Amazon Brand - Inkast Denim Co.,1,0,0,859,3.3,31,69,,1,31,https://m.media-amazon.com/images/I/91KPpcuJAXL._AC_UL320_.jpg
34,B08L2636YZ,Women's Loose Fit Jeans,KOTTY,0,0,0,639,3.8,462,68,,1,462,https://m.media-amazon.com/images/I/31Y4oZCtpUL._AC_UL320_.jpg
35,B07W3TDXXY,Women's Relaxed Jeans,AKA CHIC,0,0,0,806,4.1,"1,305",66,,1,"1,305",https://m.media-amazon.com/images/I/91BOfaa5IDL._AC_UL320_.jpg
36,B07VCG3TG7,Men's Light Blue Slim Fit Denim Jeans Stretchable,Urbano Fashion,0,0,0,699,3.5,581,53,,1,581,https://m.media-amazon.com/images/I/61nJ6tJX0VL._AC_UL320_.jpg
37,B08G2TG8XQ,Women's Skinny Jeans,AKA CHIC,0,0,0,328,3.7,52,86,,0,52,https://m.media-amazon.com/images/I/81AyWqCO+AL._AC_UL320_.jpg
38,B0872PNL6D,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,482,3.8,"2,076",76,,0,"2,076",https://m.media-amazon.com/images/I/91mXH+SEo7L._UY550_.jpg
39,B076CR4CXR,Men's Slim Fit Washed Jeans Stretchable,Urbano Fashion,1,0,0,649,3.7,"5,660",50,,1,"5,660",https://m.media-amazon.com/images/I/51sqbNfjT5L._AC_UL320_.jpg
