,Rank,Probability distn
29,30,"{'B06Y6MHSVR': 0.15, 'B07MXMTW2Z': 0.15, 'B07HLZ6K4K': 0.1, 'B09F6LRB58': 0.1, 'B091734BWL': 0.05, 'B09BVXC68X': 0.05, 'B07VCG3TG7': 0.05, 'B0839JYY7C': 0.05, 'B07HZR4V3F': 0.05, 'B09BVW2LNQ': 0.05, 'B07HZR4V3G': 0.05, 'B09F6KZK1Y': 0.05, 'B08Y71XRZH': 0.05, 'B08C8F9XHL': 0.05}"
30,31,"{'B07HZN78T8': 0.15, 'B07HZR4V3G': 0.1, 'B0979B7665': 0.1, 'B07MXMTW2Z': 0.05, 'B098L97BWD': 0.05, 'B085J72166': 0.05, 'B091734BWL': 0.05, 'B07VCG3TG7': 0.05, 'B09BVX3Q3Q': 0.05, 'B07HZCC8T7': 0.05, 'B07FYG1Z88': 0.05, 'B09BVW2LNQ': 0.05, 'B09C2G7CSZ': 0.05, 'B07W48KVMV': 0.05, 'B07HZR4V3F': 0.05, 'B06Y6MHSVR': 0.05}"
31,32,"{'B09C2G7CSZ': 0.1, 'B09F6LRB58': 0.1, 'B079HXQ6VN': 0.1, 'B07HZR4V3G': 0.05, 'B07MXMTW2Z': 0.05, 'B06Y6MHSVR': 0.05, 'B085RH5L7J': 0.05, 'B075P377WJ': 0.05, 'B091734BWL': 0.05, 'B082MFGVH1': 0.05, 'B098L97BWD': 0.05, 'B07HZN78T8': 0.05, 'B099P4RTRR': 0.05, 'B0839JYY7C': 0.05, 'B09BVW2LNQ': 0.05, 'B07W48KVMV': 0.05, 'B09172T21J': 0.05}"
32,33,"{'B099P4RTRR': 0.15, 'B085J74QL5': 0.1, 'B07HZR4V3G': 0.1, 'B08L2636YZ': 0.1, 'B085J7BK52': 0.05, 'B07QBJ7BVW': 0.05, 'B09BVW2LNQ': 0.05, 'B07RJQ2RY2': 0.05, 'B07HZR4V3F': 0.05, 'B079HXQ6VN': 0.05, 'B09F6KZK1Y': 0.05, 'B07W48KVMV': 0.05, 'B08L26C6X9': 0.05, 'B07L6Z52YW': 0.05, 'B079HTXCJ9': 0.05}"
33,34,"{'B079HXQ6VN': 0.2, 'B09F655D8M': 0.15, 'B085RH5L7J': 0.1, 'B08L2636YZ': 0.1, 'B09LCT6683': 0.1, 'B074RMN99F': 0.05, 'B09LCKTSKK': 0.05, 'B08NTDTWDS': 0.05, 'B09C2G7CSZ': 0.05, 'B07W3TDXXY': 0.05, 'B09JWH1S1N': 0.05, 'B09BVW2LNQ': 0.05}"
34,35,"{'B091734BWL': 0.15, 'B075P377WJ': 0.1, 'B09C2G7CSZ': 0.1, 'B09F655D8M': 0.1, 'B085RH5L7J': 0.05, 'B074RMN99F': 0.05, 'B07XKSP8DW': 0.05, 'B09LCT6683': 0.05, 'B07W48KVMV': 0.05, 'B07P7FV6V9': 0.05, 'B09BVWWVB1': 0.05, 'B08C8F9XHL': 0.05, 'B07CVLYWSV': 0.05, 'B07K32QVZJ': 0.05, 'B07HZR4V3G': 0.05}"
35,36,"{'B07XKSP8DW': 0.1, 'B085J74QL5': 0.1, 'B07W48KVMV': 0.1, 'B09LCT6683': 0.1, 'B09LM9SSKG': 0.05, 'B07HZN78T8': 0.05, 'B091734BWL': 0.05, 'B08J4F5HP3': 0.05, 'B08L2636YZ': 0.05, 'B07VCG3TG7': 0.05, 'B0979B7665': 0.05, 'B08C8F9XHL': 0.05, 'B09F6KZK1Y': 0.05, 'B07P7FV6V9': 0.05, 'B09BVW2LNQ': 0.05, 'B08135J1HV': 0.05}"
36,37,"{'B07HZN78T8': 0.15, 'B08L2636YZ': 0.1, 'B08669GXVC': 0.1, 'B07HZR4V3G': 0.1, 'B07W3TDXXY': 0.1, 'B07VCG3TG7': 0.05, 'B085J74QM8': 0.05, 'B09BVVXNG6': 0.05, 'B09F6KZK1Y': 0.05, 'B09LCT6683': 0.05, 'B09BVWWVB1': 0.05, 'B07HZCC8T7': 0.05, 'B01J1FYQKE': 0.05, 'B08C8F9XHL': 0.05}"
37,38,"{'B07W3TDXXY': 0.1, 'B07WX4D5RK': 0.1, 'B09LCT6683': 0.1, 'B08L2636YZ': 0.05, 'B09LM9SSKG': 0.05, 'B07VCG3TG7': 0.05, 'B09C2G7CSZ': 0.05, 'B0989MY5DT': 0.05, 'B085J74QM8': 0.05, 'B084K8TX4Q': 0.05, 'B08C8F9XHL': 0.05, 'B08WCVG23X': 0.05, 'B08WKDZPRW': 0.05, 'B079HXQ6VN': 0.05, 'B09BVXK37V': 0.05, 'B06Y6MHSVR': 0.05, 'B07CVLYWSV': 0.05}"
38,39,"{'B07W3TDXXY': 0.25, 'B07VCG3TG7': 0.1, 'B082MFGVH2': 0.1, 'B07XY5S4V1': 0.1, 'B09LM9SSKG': 0.05, 'B08XMRC418': 0.05, 'B07WX4D5RK': 0.05, 'B098LK3JWL': 0.05, 'B08C8F9XHL': 0.05, 'B08WKDZPRW': 0.05, 'B08XN6222F': 0.05, 'B08G2TG8XQ': 0.05, 'B09172T21J': 0.05}"
39,40,"{'B08G2TG8XQ': 0.2, 'B07W3TDXXY': 0.15, 'B08XMRC418': 0.15, 'B099NJFB12': 0.05, 'B085D889GN': 0.05, 'B089FNZYG7': 0.05, 'B08R8JVV2S': 0.05, 'B08S49RH92': 0.05, 'B0758JPR4Q': 0.05, 'B07XY5S4V1': 0.05, 'B07HLZ6K4K': 0.05, 'B09LCT6683': 0.05, 'B08L26C6X9': 0.05}"
