,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
23,REGEL-X PVC 20 Kg Home Gym Set with One 3 Ft Curl and One 3 Ft Stade One Pair Dumbbell Rods with Gym Accessories,1,0,0,"1,299",1.3,3,68,"Friday, February 4",0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0114561CWV8KIBJWZ1Z&url=%2FREGEL-X-PVC-20-Dumbbell-Accessories%2Fdp%2FB08W2Y256J%2Fref%3Dsr_1_24_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-24-spons%26psc%3D1&qualifier=1643265205&id=4441125105797304&widgetName=sp_mtf
24,"Protoner 20kg Adjustable Dumbbell Set for Adult, PVC",0,0,0,835,3.4,"1,766",60,"Monday, February 7",1,https://www.amazon.in/Protoner-20kg-Adjustable-Dumbbell-Adult/dp/B07B8MMQC8/ref=sr_1_25?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-25
25,"Gym Insane Dumbbell Rod bar 14 Inches with 4 Iron Bolt Nuts Weight Lifting Strength Training & Exercise Fitness, Gym Equipment for Home Gym Workout",0,0,0,335,4.0,538,74,"Thursday, February 3",0,https://www.amazon.in/Dumbbell-Strength-Training-Exercise-Equipment/dp/B089NWGPGJ/ref=sr_1_26?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-26
26,Protoner Pair of 5kg Each PVC Dumbbells Set,0,1,0,449,3.6,"2,963",76,"Monday, February 7",0,https://www.amazon.in/Protoner-Pair-5kg-Each-Dumbbells/dp/B07B91CQH6/ref=sr_1_27?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-27
27,"WATSON Rubber Weight Plates, 14 inches cast Iron Dumbbells rods 25mm with Metal Nuts, Gym Equipment Set Iron rods for Home Workout Iron Nuts, Home Gym kit Rubber Plates Combos",0,0,0,"1,399",4.5,29,55,"Wednesday, February 2",1,https://www.amazon.in/WATSON-Rubber-Dumbbells-Equipment-Workout/dp/B09GBL94FM/ref=sr_1_28?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-28
28,"Wearslim® Exercise & Fitness PVC Dumbbell Set of 2, Home Gym Equipment Workouts Free Weight Fixed Rubberized Muscle Gain for Unisex Multi-Color",0,0,0,299,4.1,18,57,"Wednesday, February 2",0,https://www.amazon.in/Wearslim%C2%AE-Professional-Dumbbell-Exercise-Equipment/dp/B0963CTWTD/ref=sr_1_29?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-29
29,"SC 2 X 1 Kg Steel Dumbell Set, Fixed Weight Dumbbells, Dumbbell Set 1 Pair",0,0,0,425,4.5,6,50,"Thursday, February 3",0,https://www.amazon.in/Dhamaka-Offer-Steel-Dumbells-Free/dp/B08N4JYQ4X/ref=sr_1_30?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-30
30,"RSN PVC Hex Dumbbells for Men & Women, PVC Dumbbell Plates Home Gym Combo, PVC Dumbbell Set, Adjustable Dumbbells, Weight Plates",0,0,0,389,1.0,1,84,"Thursday, February 3",1,https://www.amazon.in/Dumbbells-Dumbbell-Plates-Adjustable-Weight/dp/B09P8WDDNW/ref=sr_1_31?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-31
31,Kore Professional (Hexa / Steel)  1 - 20 Kg (Set of Two) Dumbbells Home Gym Exercise Equipment for Men & Women,0,0,0,"2,849",4.4,779,51,"Monday, February 7",1,https://www.amazon.in/Kore-K-DM-Hexa-10kg-Combo-16-DM-HEXA-10KG-COMBO16-DUMBBELLS/dp/B071HSCWRM/ref=sr_1_32?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-32
32,Lifelong PVC Dumbbells Pack of 2 for Home Gym Fitness Barbell (6 Month Warranty),0,0,1,159,4.0,"2,032",68,"Saturday, January 29",0,https://www.amazon.in/Lifelong-Dumbbells-Fitness-Barbell-Warranty/dp/B08K3G4HN7/ref=ice_ac_b_dpb?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-33
