Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
153,B08ZJHJ5DJ,"Haier 7 Kg Fully Automatic Top Load Washing Machine (HWM70-AE, Moonlight Grey)",Haier,0,0,0,"16,990",4.1,41,35,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,41,https://m.media-amazon.com/images/I/61iFfYl40US._AC_UL320_.jpg,Washing machine,"Haier 7 Kg Fully Automatic Top Load Washing Machine (HWM70-AE, Moonlight Grey)",SKU: B08ZJHJ5DJ
154,B09DX5DFBW,SISU Enterprises Portable Handy Washing Machine,SISU,0,0,0,"2,599",0,0,35,"Sunday, February 20",0,"₹2,599
₹4,000 Save ₹1,401 (35%)",https://m.media-amazon.com/images/I/61WJFzrQkJL._SY879_.jpg,Washing machine,SISU Enterprises Portable Handy Washing Machine,SKU: B09DX5DFBW
155,B08SR624PS,Bosch 7 kg 5 Star 1000RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater White(WAJ2006EIN),Bosch,0,0,0,"28,490",4.3,395,22,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,395,https://m.media-amazon.com/images/I/61kD8bq3ucL._AC_UL320_.jpg,Washing machine,Bosch 7 kg 5 Star 1000RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater White(WAJ2006EIN),SKU: B08SR624PS
156,B0826Y7LLL,"Haier 6 kg Fully-Automatic Top Loading Washing Machine (HWM60-1269DB, Moonlight Grey)",Haier,0,0,0,0,4.3,56,0,,0,56,https://m.media-amazon.com/images/I/2188UNxuyDL._AC_UL320_.jpg,Washing machine,"Haier 6 kg Fully-Automatic Top Loading Washing Machine (HWM60-1269DB, Moonlight Grey)",SKU: B0826Y7LLL
157,B08DF1ZM2C,"LG 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70SJMB1Z, Middle Black, Jet Spray+)",LG,0,0,0,"23,950",4.5,101,25,"Thu, 17 Feb, 7:00 am - 9:00 pm",0,101,https://m.media-amazon.com/images/I/71-smDZeF+L._AC_UL320_.jpg,Washing machine,"LG 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70SJMB1Z, Middle Black, Jet Spray+)",SKU: B08DF1ZM2C
158,B08HXSSSPF,"Voltas Beko 7 Kg Semi-Automatic Top Loading Washing Machine (WTT70ALIM, Burgundy Qpaque)",Voltas,0,0,0,0,3.9,155,0,,0,155,https://m.media-amazon.com/images/I/51Cfm2z7bDL._AC_UL320_.jpg,Washing machine,"Voltas Beko 7 Kg Semi-Automatic Top Loading Washing Machine (WTT70ALIM, Burgundy Qpaque)",SKU: B08HXSSSPF
159,B09HH38W21,,,0,0,0,0,0,0,0,,0,,https://m.media-amazon.com/images/I/61XSwAx56oL._AC_UL320_.jpg,Washing machine,nan,SKU: B09HH38W21
160,B08CW1ZNG2,"Godrej 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 650 AD 5.0 ROGR, Grey, Acu Wash Drum)",Godrej,0,0,0,0,4.3,364,0,,0,364,https://m.media-amazon.com/images/I/711QU6ggL-L._AC_UL320_.jpg,Washing machine,"Godrej 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 650 AD 5.0 ROGR, Grey, Acu Wash Drum)",SKU: B08CW1ZNG2
161,B09CHJKXRW,Sisu Enterprises Handy Washing Machine,Sisu,0,0,0,"2,380",0,0,41,"Sunday, February 20",0,"₹2,380
₹4,000 Save ₹1,620 (41%)",https://m.media-amazon.com/images/I/61WJFzrQkJL._SY879_.jpg,Washing machine,Sisu Enterprises Handy Washing Machine,SKU: B09CHJKXRW
162,B08SR562KV,Bosch 7 kg 5 Star 1200RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater White(WAJ2416EIN),Bosch,0,0,0,"30,990",4.5,501,20,"Tue, 22 Feb, 7:00 am - 9:00 pm",0,501,https://m.media-amazon.com/images/I/71dDkjYJMFS._AC_UL320_.jpg,Washing machine,Bosch 7 kg 5 Star 1200RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater White(WAJ2416EIN),SKU: B08SR562KV
163,B08WWN5NMZ,"Samsung 7 Kg Wi-Fi Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW70T502NTW/TL, White, AI Control)",Samsung,0,0,0,"34,000",4.5,124,10,"Thu, 24 Feb, 7:00 am - 9:00 pm",0,124,https://images-eu.ssl-images-amazon.com/images/I/416hwb-eldL._SX342_SY445_QL70_FMwebp_.jpg,Washing machine,"Samsung 7 Kg Wi-Fi Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW70T502NTW/TL, White, AI Control)",SKU: B08WWN5NMZ
164,B075LNDPLY,"Samsung 6.2 kg Fully-Automatic Top Loading Washing Machine (WA62M4200HA/TL, Imperial Silver, Wobble Technology)",Samsung,0,0,0,0,4.3,117,0,,0,117,https://m.media-amazon.com/images/I/71EsBgGTMpL._SY500_.jpg,Washing machine,"Samsung 6.2 kg Fully-Automatic Top Loading Washing Machine (WA62M4200HA/TL, Imperial Silver, Wobble Technology)",SKU: B075LNDPLY
165,B09GNGW7Y1,"Daenyx Washing Machine 7.5 KG Top Load Semi Automatic Washer (DW75-7501, Red)",Daenyx,0,0,0,0,5,2,0,,0,2,https://m.media-amazon.com/images/I/51ti2PbOHsL._AC_UL320_.jpg,Washing machine,"Daenyx Washing Machine 7.5 KG Top Load Semi Automatic Washer (DW75-7501, Red)",SKU: B09GNGW7Y1
166,B09K6DL1SN,RK Fashion Latest Mini Washing Machine Compact ultrasonic Small Automatic Cleaning Washer with Capacity of 3 kg Cloths Perfect for Campers and Best Travelling Washing Partner,RK,0,0,0,"3,499",0,0,30,"Sunday, February 20",0,"₹3,499
₹4,999 Save ₹1,500 (30%)",,Washing machine,RK Fashion Latest Mini Washing Machine Compact ultrasonic Small Automatic Cleaning Washer with Capacity of 3 kg Cloths Perfect for Campers and Best Travelling Washing Partner,SKU: B09K6DL1SN
167,B07WMJMNWJ,"IFB 6.5 Kg 5 Star Fully-Automatic Front Loading Washing Machine (Elena ZX, White, In-Built Heater, 3D Wash Technology)",IFB,0,0,0,"29,750",4.3,206,14,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,206,https://m.media-amazon.com/images/I/71QdF+JcJnL._AC_UL320_.jpg,Washing machine,"IFB 6.5 Kg 5 Star Fully-Automatic Front Loading Washing Machine (Elena ZX, White, In-Built Heater, 3D Wash Technology)",SKU: B07WMJMNWJ
