,Rank,Probability distn
30,31,"{'B09LS28Y58': 0.2, 'B07BDHRXTG': 0.15, 'B09NW5Q51Q': 0.1, 'B06XRXKNF7': 0.1, 'B09LSGRLS5': 0.05, 'B07VP1X9B9': 0.05, 'B098TDZD1C': 0.05, 'B08ZST7976': 0.05, 'B0982ZYTRS': 0.05, 'B07ZZ3CFNC': 0.05, 'B094BL1628': 0.05, 'B07D4J8MRV': 0.05, 'B07Q34MCHH': 0.05}"
31,32,"{'B09LSGRLS5': 0.1, 'B09LS28Y58': 0.1, 'B07BDHRXTG': 0.1, 'B09F6HQV7K': 0.05, 'B09KCK82V5': 0.05, 'B09DNQLQGB': 0.05, 'B095SFHNQ2': 0.05, 'B07BSWXZG6': 0.05, 'B09LT9MR66': 0.05, 'B06XRXKNF7': 0.05, 'B09RPSFHWW': 0.05, 'B09P7CCGFD': 0.05, 'B07T9T2WNB': 0.05, 'B08V8H7DBD': 0.05, 'B09FPJFSZ9': 0.05, 'B09J56ST7Z': 0.05, 'B09MM97N5W': 0.05}"
32,33,"{'B09M75WXNY': 0.15, 'B08V8H7DBD': 0.15, 'B08ZST7976': 0.1, 'B07ZZ3CFNC': 0.1, 'B09FHJ68M6': 0.05, 'B09LSGRLS5': 0.05, 'B08XM414JJ': 0.05, 'B09M8N2QKW': 0.05, 'B0982ZLVQP': 0.05, 'B07BDHRXTG': 0.05, 'B09RZKHDK5': 0.05, 'B09LT8HSKB': 0.05, 'B094BL1628': 0.05, 'B094FFWDXK': 0.05}"
33,34,"{'B08XM414JJ': 0.15, 'B08ZST7976': 0.1, 'B09NW5Q51Q': 0.05, 'B09LSGRLS5': 0.05, 'B09MJFMMKW': 0.05, 'B075R71KTL': 0.05, 'B09QCXGZB3': 0.05, 'B08V8H7DBD': 0.05, 'B08HDBK3H3': 0.05, 'B095SFHNQ2': 0.05, 'B094BL1628': 0.05, 'B08XZJJK1N': 0.05, 'B07BDHRXTG': 0.05, 'B0758QLDV7': 0.05, 'B09LS28Y58': 0.05, 'B09Q94LC3J': 0.05, 'B094FFWDXK': 0.05}"
34,35,"{'B07BDHRXTG': 0.1, 'B08ZST7976': 0.1, 'B09LSGRLS5': 0.1, 'B078RQ4LLK': 0.05, 'B0982ZYTRS': 0.05, 'B098TDZD1C': 0.05, 'B09MB19T4W': 0.05, 'B08V8H7DBD': 0.05, 'B09NRLS933': 0.05, 'B071NRKJPW': 0.05, 'B09F96T6H7': 0.05, 'B09NW5Q51Q': 0.05, 'B09FPJFSZ9': 0.05, 'B098P32WF1': 0.05, 'B09Q94LC3J': 0.05, 'B08XZJJK1N': 0.05, 'B09LS28Y58': 0.05}"
35,36,"{'B08ZST7976': 0.2, 'B08XM414JJ': 0.1, 'B09QL4SZNS': 0.05, 'B09M75WXNY': 0.05, 'B0982ZLVQP': 0.05, 'B09LSGRLS5': 0.05, 'B09RH1K44J': 0.05, 'B098TDZD1C': 0.05, 'B07BDHRXTG': 0.05, 'B099DML4HX': 0.05, 'B09GPBT76H': 0.05, 'B01N6N6NJN': 0.05, 'B09MBZPNF8': 0.05, 'B08GKXVVZK': 0.05, 'B09LT8HSKB': 0.05, 'B09Q94LC3J': 0.05}"
36,37,"{'B09FPJFSZ9': 0.1, 'B09MB19T4W': 0.05, 'B08J7WSKMF': 0.05, 'B09GPBT76H': 0.05, 'B09M75WXNY': 0.05, 'B09NW5Q51Q': 0.05, 'B09QSL9YQT': 0.05, 'B09MJFMMKW': 0.05, 'B08ZST7976': 0.05, 'B08P1JHLSJ': 0.05, 'B09C43Q4CJ': 0.05, 'B08D9LFDGC': 0.05, 'B09LT9MR66': 0.05, 'B094FFWDXK': 0.05, 'B08V8H7DBD': 0.05, 'B09RZJZ8ZV': 0.05, 'B095SFHNQ2': 0.05, 'B07T9T2WNB': 0.05, 'B07C9F3C5D': 0.05}"
37,38,"{'B095SFHNQ2': 0.15, 'B08ZST7976': 0.1, 'B09GPBT76H': 0.1, 'B09NF12KN7': 0.1, 'B09RTGCKQ3': 0.1, 'B09PBVJT82': 0.05, 'B09FPJFSZ9': 0.05, 'B09RSTRD9M': 0.05, 'B07WFPQBJ6': 0.05, 'B099DML4HX': 0.05, 'B07C9F3C5D': 0.05, 'B07GLWRLS7': 0.05, 'B09M75WXNY': 0.05, 'B09LT8HSKB': 0.05}"
38,39,"{'B09M75WXNY': 0.1, 'B09RHML8VY': 0.05, 'B095SFHNQ2': 0.05, 'B091CX1T76': 0.05, 'B09GPBT76H': 0.05, 'B09RVYJ9LY': 0.05, 'B09QSL9YQT': 0.05, 'B09RPSFHWW': 0.05, 'B099DML4HX': 0.05, 'B09LT8NW2R': 0.05, 'B097ZTBQQC': 0.05, 'B08HDBK3H3': 0.05, 'B07Z7K6M1Z': 0.05, 'B09MJ2ZDWW': 0.05, 'B089LMQWWW': 0.05, 'B08ZSX9LGC': 0.05, 'B01MT11MKL': 0.05, 'B098P32WF1': 0.05, 'B08ZST7976': 0.05}"
39,40,"{'B09MB19T4W': 0.15, 'B085F32YSX': 0.1, 'B09P27Q1C1': 0.1, 'B09RKMFVD1': 0.05, 'B09RHML8VY': 0.05, 'B09RVVMJ8K': 0.05, 'B09RVYJ9LY': 0.05, 'B09NW5Q51Q': 0.05, 'B09RZKHDK5': 0.05, 'B09RMRTKL3': 0.05, 'B084GSQ6NN': 0.05, 'B09BF6RD65': 0.05, 'B09PF34VYF': 0.05, 'B095SFHNQ2': 0.05, 'B07Z7K6M1Z': 0.05, 'B09D2VY346': 0.05}"
